store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
sobeys,flyer,,Sobeys,Sobeys,,,each,,,,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Fresh AIR-CHILLED Boneless Skinless Chicken Breasts,COMPLIMENTS Fresh AIR-CHILLED Boneless Skinless Chicken Breasts,,5.88,/lb 12.96/kg,,5.88,,False,True
sobeys,flyer,,Fresh Boneless Whole Pork Loin Centre and Rib Portion,Fresh Boneless Whole Pork Loin Centre and Rib Portion,,2.49,/lb 5.49/kg,,2.49,,False,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Boneless Skinless Chicken Breasts,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Boneless Skinless Chicken Breasts,,6.99,"/lb, 15.41/kg",,6.99,,False,True
sobeys,flyer,COMPLIMENTS,"COMPLIMENTS Unbreaded Chicken Wings, Fillets, Chunks or Rib Tips","COMPLIMENTS Unbreaded Chicken Wings, Fillets, Chunks or Rib Tips",,10.99,each,,1.8316666666666668,100g,True,True
sobeys,flyer,,Strawberries,Strawberries,,2.99,each,,299.0,100g,True,True
sobeys,flyer,,COMPLIMENTS Raw Shrimp,COMPLIMENTS Raw Shrimp,,6.99,each,,2.0558823529411763,100g,True,True
sobeys,flyer,COMPLIMENTS,"COMPLIMENTS Carrots, Onions, Stew Packs","COMPLIMENTS Carrots, Onions, Stew Packs",,2.99,each,,299.0,100g,True,True
sobeys,flyer,,KELLOGG'S or GENERAL MILLS Family Size Cereals,KELLOGG'S or GENERAL MILLS Family Size Cereals,,5.47,each,,1.1395833333333332,100g,True,True
sobeys,flyer,,BEN'S ORIGINAL Fast & Fancy Rice,BEN'S ORIGINAL Fast & Fancy Rice,,0.99,each,,0.75,100g,True,True
sobeys,flyer,,"COMPLIMENTS Orange Juice, Lemonade or Iced Tea","COMPLIMENTS Orange Juice, Lemonade or Iced Tea",,2.88,each,,0.187012987012987,100ml,True,True
sobeys,flyer,,CASHMERE Bath Tissue,CASHMERE Bath Tissue,,6.44,each,,1.0733333333333335,1ea,True,True
sobeys,flyer,,Groceries,Groceries,,,each,,,,True,True
sobeys,flyer,,sobeys,sobeys,,,each,,,,True,True
sobeys,flyer,,Fresh Whole Skinless Pork Belly,Fresh Whole Skinless Pork Belly,,5.88,/lb 12.96/kg,,5.88,,False,True
sobeys,flyer,EIGHT TREASURES,EIGHT TREASURES Thai Jasmine Rice,EIGHT TREASURES Thai Jasmine Rice,,13.88,each,,0.1735,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS ORGANIC Whole White or Cremini Mushrooms,COMPLIMENTS ORGANIC Whole White or Cremini Mushrooms,,4.88,each,,1.0748898678414098,100g,True,True
sobeys,flyer,SAMYANG,SAMYANG Noodles,SAMYANG Noodles,,6.88,each,,1.376,1ea,True,True
sobeys,flyer,PROCTOR SILEX,PROCTOR SILEX 8-Cup Rice Cooker,PROCTOR SILEX 8-Cup Rice Cooker,,18.88,each,,18.88,,True,True
sobeys,flyer,,Bagels,Bagels,,3.79,each,,0.9475,1ea,True,True
sobeys,flyer,NANUK,NANUK Smoked Pacific Salmon,NANUK Smoked Pacific Salmon,,9.99,each,,7.135714285714285,100g,True,True
sobeys,flyer,,Large Avocados,Large Avocados,,4.98,each,,1.6600000000000001,,True,True
sobeys,flyer,PHILADELPHIA,PHILADELPHIA Cream Cheese,PHILADELPHIA Cream Cheese,,3.99,each,,1.7577092511013217,100g,True,True
sobeys,flyer,GAY LEA,GAY LEA Butter,GAY LEA Butter,,5.99,each,,1.3193832599118942,100g,True,True
sobeys,flyer,STERLING SILVER,STERLING SILVER Fresh Boneless Blade Pot Roast or Simmering Steak,STERLING SILVER Fresh Boneless Blade Pot Roast or Simmering Steak,,6.88,/lb 15.17/kg,,6.88,,False,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Regular or Jumbo Wieners,COMPLIMENTS Regular or Jumbo Wieners,,1.88,each,,0.41777777777777775,100g,True,True
sobeys,flyer,,SWISS CHALET or MONTANA'S Meat Pies,SWISS CHALET or MONTANA'S Meat Pies,,6.88,each,,1.0584615384615386,100g,True,True
sobeys,flyer,ARMSTRONG,ARMSTRONG Cheese,ARMSTRONG Cheese,,5.88,each,,1.47,100g,True,True
sobeys,flyer,,COCA-COLA or PEPSI Soft Drinks,COCA-COLA or PEPSI Soft Drinks,,12.88,each,,6.44,,True,True
sobeys,flyer,,Fresh Atlantic Salmon Portions,Fresh Atlantic Salmon Portions,,4.88,each,,4.31858407079646,100g,True,True
sobeys,flyer,,Extra Large Red Cherries,Extra Large Red Cherries,,5.88,/lb 12.96/kg,,588.0,100g,False,True
sobeys,flyer,TOSTITOS,TOSTITOS Tortilla Chips,TOSTITOS Tortilla Chips,,5.88,each,,1.4341463414634148,100g,True,True
sobeys,flyer,DR. OETKER,"DR. OETKER Momenti, Panini or Garlic Fingers","DR. OETKER Momenti, Panini or Garlic Fingers",,2.88,each,,1.7999999999999998,100g,True,True
sobeys,flyer,FONTAINE SANTÉ,FONTAINE SANTÉ Hummus,FONTAINE SANTÉ Hummus,,3.88,each,,1.709251101321586,100g,True,True
sobeys,flyer,,Dessert Bars,Dessert Bars,,7.88,each,,0.985,1ea,True,True
sobeys,flyer,HELLMANN'S,HELLMANN'S Mayonnaise,HELLMANN'S Mayonnaise,,5.88,each,,5.88,,True,True
sobeys,flyer,VILLAGGIO,VILLAGGIO Bread,VILLAGGIO Bread,,6.88,each,,0.5733333333333334,100g,True,True
sobeys,flyer,CATELLI,CATELLI Pasta,CATELLI Pasta,,1.88,each,,0.5013333333333333,100g,True,True
sobeys,flyer,,KRAFT Dinner Original or Cups,KRAFT Dinner Original or Cups,,3.88,each,,0.97,1ea,True,True
sobeys,flyer,,VAN HOUTTE Roast & Ground Coffee,VAN HOUTTE Roast & Ground Coffee,,8.88,each,,2.611764705882353,100g,True,True
sobeys,flyer,,OASIS or ARIZONA Juices or Drinks,OASIS or ARIZONA Juices or Drinks,,2.88,each,,0.144,100ml,True,True
sobeys,flyer,,STOUFFER'S or LEAN CUISINE Frozen Entrées,STOUFFER'S or LEAN CUISINE Frozen Entrées,,2.88,each,,1.3584905660377358,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Luncheon Meat,COMPLIMENTS Luncheon Meat,,2.88,each,,0.8470588235294116,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Frozen Fruit,COMPLIMENTS Frozen Fruit,,4.88,each,,1.6266666666666665,100g,True,True
sobeys,flyer,TIDE,TIDE Simply Detergent,TIDE Simply Detergent,,8.88,each,,0.26117647058823534,100ml,True,True
sobeys,flyer,PEARL MILLING COMPANY,PEARL MILLING COMPANY Pancake Mix or Syrup,PEARL MILLING COMPANY Pancake Mix or Syrup,,4.0,ea when you buy 2 or more,,0.44198895027624313,100g,False,True
sobeys,flyer,,LIBERTÉ Greek Yogurt,LIBERTÉ Greek Yogurt,,5.49,each,,0.8446153846153847,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Caramel & Cheddar Popcorn,COMPLIMENTS Caramel & Cheddar Popcorn,,,each,,,100g,True,True
sobeys,flyer,GATORADE,GATORADE Team Pack,GATORADE Team Pack,,18.99,each,,18.99,,True,True
sobeys,flyer,OÎKOS,OÎKOS Greek Yogurt,OÎKOS Greek Yogurt,,9.99,each,,0.666,100g,True,True
sobeys,flyer,,Sobeys,Sobeys,,,each,,,,True,True
sobeys,flyer,,"Royal Gala, Ambrosia, McIntosh, Cortland or Spartan Apples","Royal Gala, Ambrosia, McIntosh, Cortland or Spartan Apples",,1.99,/lb 4.39/kg,,1.99,,False,True
sobeys,flyer,HIIROS,HIIROS Cherry Tomatoes on the Vine,HIIROS Cherry Tomatoes on the Vine,,6.49,each,,1.9088235294117648,100g,True,True
sobeys,flyer,,Boston Lettuce,Boston Lettuce,,3.29,each,,3.29,,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Chicken Drumsticks or Thighs,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Chicken Drumsticks or Thighs,,3.99,/lb 8.80/kg,,3.99,,False,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Potatoes,COMPLIMENTS Potatoes,,4.49,each,,449.0,100g,True,True
sobeys,flyer,,Yams,Yams,,1.69,/lb 3.73/kg,,169.0,100g,False,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Whole White Mushrooms,COMPLIMENTS Whole White Mushrooms,,6.99,each,,1.0279411764705881,100g,True,True
sobeys,flyer,,Cantaloupes,Cantaloupes,,5.88,each,,5.88,,True,True
sobeys,flyer,,Green Onions,Green Onions,,1.58,each,,1.58,,True,True
sobeys,flyer,,Romaine Hearts,Romaine Hearts,,5.98,each,,1.9933333333333334,1ea,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Boneless Skinless Chicken Thighs,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Boneless Skinless Chicken Thighs,,8.49,/lb 18.72/kg,,8.49,,False,True
sobeys,flyer,,Bunch Cilantro,Bunch Cilantro,,1.88,each,,1.88,,True,True
sobeys,flyer,MANN'S,MANN'S Snow Peas,MANN'S Snow Peas,,3.88,each,,2.2823529411764705,100g,True,True
sobeys,flyer,,Young Coconut,Young Coconut,,3.88,each,,0.5969230769230769,100g,True,True
sobeys,flyer,,Large Pomegranates,Large Pomegranates,,2.88,each,,2.88,,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Whole Chicken,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Whole Chicken,,3.99,/lb 8.80/kg,,3.99,,False,True
sobeys,flyer,,Pachira,Pachira,,14.99,each,,14.99,,True,True
sobeys,flyer,,Prepared Fresh Daily BBQ Grillers,Prepared Fresh Daily BBQ Grillers,,,each,,,,True,True
sobeys,flyer,,Mixed or Tropical Fruit Salads,Mixed or Tropical Fruit Salads,,,each,,,,True,True
sobeys,flyer,,Winter Erica Heather,Winter Erica Heather,,6.99,each,,6.99,,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Split Chicken Wings,COMPLIMENTS NATURALLY SIMPLE Raised Without Antibiotics Split Chicken Wings,,5.99,/lb 13.21/kg,,5.99,,False,True
sobeys,flyer,POM,POM WONDERFUL Pistachios,POM WONDERFUL Pistachios,,4.99,each,,2.495,100g,True,True
sobeys,flyer,COMPASS GOODZ,COMPASS GOODZ Dried Fruit or Nut Mixes,COMPASS GOODZ Dried Fruit or Nut Mixes,,5.49,each,,4.575,100g,True,True
sobeys,flyer,,Farm Fresh or Mini Gerbera Bouquet,Farm Fresh or Mini Gerbera Bouquet,,12.99,each,,12.99,,True,True
sobeys,flyer,,Tulip Bunch,Tulip Bunch,,8.99,each,,8.99,,True,True
sobeys,flyer,STERLING SILVER,STERLING SILVER Fresh Boneless Top Sirloin Grilling Steak or Premium Oven Roast,STERLING SILVER Fresh Boneless Top Sirloin Grilling Steak or Premium Oven Roast,,8.99,/lb 19.82/kg with Scene+ Card,,8.99,,False,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Fresh AIR-CHILLED Chicken Drumsticks or Thighs,COMPLIMENTS Fresh AIR-CHILLED Chicken Drumsticks or Thighs,,3.99,/lb 8.80/kg,,3.99,,False,True
sobeys,flyer,,Fresh Boneless Pork Loin Centre or Rib Roasts or Chops,Fresh Boneless Pork Loin Centre or Rib Roasts or Chops,,4.49,/lb 9.90/kg,,4.49,,False,True
sobeys,flyer,,Fresh Skinless Pork Belly Portion or Sliced,Fresh Skinless Pork Belly Portion or Sliced,,6.88,/lb 15.17/kg,,6.88,,False,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Fresh AIR-CHILLED Split Chicken Wings,COMPLIMENTS Fresh AIR-CHILLED Split Chicken Wings,,6.49,/lb 14.31/kg,,6.49,,False,True
sobeys,flyer,,"The Canadian Medium Ground Chuck Smoked Bacon & Cheddar, Jalapeño Jack or Onion & Swiss Beef Burgers","The Canadian Medium Ground Chuck Smoked Bacon & Cheddar, Jalapeño Jack or Onion & Swiss Beef Burgers",,6.99,/lb 15.41/kg,,6.99,,False,True
sobeys,flyer,,Fresh Canadian Lamb Loin Chops,Fresh Canadian Lamb Loin Chops,,15.99,/lb 35.25/kg,,15.99,,False,True
sobeys,flyer,PANACHE,PANACHE Dinner or Breakfast Pork Sausages,PANACHE Dinner or Breakfast Pork Sausages,,4.99,each,,1.3306666666666669,100g,True,True
sobeys,flyer,,Extra Lean Ground Beef,Extra Lean Ground Beef,,6.99,/lb 15.41/kg,,6.99,,False,True
sobeys,flyer,NOBLE PREMIUM,NOBLE PREMIUM BISON Cubes or Inside Round Steak,NOBLE PREMIUM BISON Cubes or Inside Round Steak,,9.99,each,,4.420353982300885,100g,True,True
sobeys,flyer,NOBLE PREMIUM,NOBLE PREMIUM BISON Top Sirloin Steak,NOBLE PREMIUM BISON Top Sirloin Steak,,11.99,each,,5.3053097345132745,100g,True,True
sobeys,flyer,NOBLE PREMIUM,NOBLE PREMIUM BISON Rib Eye or Striploin Steak,NOBLE PREMIUM BISON Rib Eye or Striploin Steak,,14.99,each,,6.632743362831858,100g,True,True
sobeys,flyer,OLYMEL,OLYMEL Bacon,OLYMEL Bacon,,6.99,each,,1.864,100g,True,True
sobeys,flyer,PILLER'S,PILLER'S Naturally Smoked Boneless Hams,PILLER'S Naturally Smoked Boneless Hams,,12.99,each,,1.6237500000000002,100g,True,True
sobeys,flyer,JANES,JANES Pub Style Chicken Wings,JANES Pub Style Chicken Wings,,10.99,each,,1.6651515151515153,100g,True,True
sobeys,flyer,COMPLIMENTS,"COMPLIMENTS Shepherd's Pie, Farmhouse Pie or Gluten-Free Beef Lasagna","COMPLIMENTS Shepherd's Pie, Farmhouse Pie or Gluten-Free Beef Lasagna",,12.99,each,,1.4433333333333334,100g,True,True
sobeys,flyer,COMPLIMENTS,"COMPLIMENTS Stuffed Chicken Cutlettes, Cheese Sticks or Mac & Cheese Bites","COMPLIMENTS Stuffed Chicken Cutlettes, Cheese Sticks or Mac & Cheese Bites",,4.99,each,,1.757042253521127,100g,True,True
sobeys,flyer,THE KEG,THE KEG Prime Rib Beef Burgers or Frozen Back Ribs,THE KEG Prime Rib Beef Burgers or Frozen Back Ribs,,19.99,each,,2.8557142857142854,100g,True,True
sobeys,flyer,,scotia bank offer,scotia bank offer,,,each,,,,True,True
sobeys,flyer,,JARLSBERG,JARLSBERG,,,each,,,100g,True,True
sobeys,flyer,,French Emmental,French Emmental,,3.49,/100 g,,3.49,,False,True
sobeys,flyer,,THE LAUGHING COW,THE LAUGHING COW,,9.99,ea when you buy 2 or more,,0.41625,1ea,False,True
sobeys,flyer,COWS CREAMERY,COWS CREAMERY Moo Crisps,COWS CREAMERY Moo Crisps,,7.49,ea,,7.49,,False,True
sobeys,flyer,SIKORSKI,"SIKORSKI Mini Kabanos Classic, Mild or Beef","SIKORSKI Mini Kabanos Classic, Mild or Beef",,2.99,each,,4.6000000000000005,100g,True,True
sobeys,flyer,SNACK FACTORY,SNACK FACTORY Pretzel Crisps,SNACK FACTORY Pretzel Crisps,,5.99,each,,2.995,100g,True,True
sobeys,flyer,PILLER'S,PILLER'S Salami Whips or Chips,PILLER'S Salami Whips or Chips,,4.99,ea,,5.870588235294118,100g,False,True
sobeys,flyer,,Service Case Deli Meat,Service Case Deli Meat,,,each,,,,True,True
sobeys,flyer,,"Homestyle Oat Bran, Mountain Grain, Good Haven or Low Fat Multigrain Bread","Homestyle Oat Bran, Mountain Grain, Good Haven or Low Fat Multigrain Bread",,3.49,each,,0.7755555555555557,100g,True,True
