store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
walmart,flyer,,"Hometrends 30"" Steel Wood-Burning Fire Pit","Hometrends 30"" Steel Wood-Burning Fire Pit",,298.0,each,,298.0,,True,True
walmart,flyer,,Hometrends Dune 2-Piece Loveseat & Ottoman Set,Hometrends Dune 2-Piece Loveseat & Ottoman Set,,798.0,each,,798.0,,True,True
walmart,flyer,,Walmart Canada,Walmart Canada,,,each,,,,True,True
walmart,flyer,,Walmart Canada,Walmart Canada,,,each,,,,True,True
walmart,flyer,,Mainstays Wicker Stacking Chair,Mainstays Wicker Stacking Chair,,39.98,each,,39.98,,True,True
walmart,flyer,,"Mainstays 40"" Round Glass Dining Table","Mainstays 40"" Round Glass Dining Table",,118.0,each,,118.0,,True,True
walmart,flyer,,Hometrends Sling Rope Stacking Chair,Hometrends Sling Rope Stacking Chair,,128.0,each,,128.0,,True,True
walmart,flyer,,"Hometrends 40"" Round Dining Table","Hometrends 40"" Round Dining Table",,188.0,each,,188.0,,True,True
walmart,flyer,,Hometrends Dawson Faux Leather Strap Chair,Hometrends Dawson Faux Leather Strap Chair,,128.0,each,,128.0,,True,True
walmart,flyer,,Mainstays Charleston Stacking Chair,Mainstays Charleston Stacking Chair,,54.98,each,,54.98,,True,True
walmart,flyer,,Mainstays Charleston Swivel Chairs 2-Pack,Mainstays Charleston Swivel Chairs 2-Pack,,248.0,each,,248.0,,True,True
walmart,flyer,,Mainstays Charleston Dining Table,Mainstays Charleston Dining Table,,138.0,each,,138.0,,True,True
walmart,flyer,,"Bond Canmore 36"" Envirostone Fire Bowl","Bond Canmore 36"" Envirostone Fire Bowl",,498.0,each,,498.0,,True,True
walmart,flyer,,Walmart Canada,Walmart Canada,,,each,,,,True,True
walmart,flyer,,Hometrends 10-Count Assorted Bulbs Solar String Lights,Hometrends 10-Count Assorted Bulbs Solar String Lights,,24.98,each,,24.98,,True,True
walmart,flyer,,Mainstays Rope/Wicker Stacking Chair,Mainstays Rope/Wicker Stacking Chair,,69.98,each,,69.98,,True,True
walmart,flyer,Mainstays,Mainstays Rope Wicker Stacking Chair,Mainstays Rope Wicker Stacking Chair,,69.98,each,,69.98,,True,True
walmart,flyer,Hometrends,Hometrends Vintage Brights Toss Cushions,Hometrends Vintage Brights Toss Cushions,,11.98,each,,11.98,,True,True
walmart,flyer,,Mainstays Square Side Table,Mainstays Square Side Table,,39.98,each,,39.98,,True,True
walmart,flyer,,Hometrends Vintage Bright Toss Cushions,Hometrends Vintage Bright Toss Cushions,,11.98,each,,11.98,,True,True
walmart,flyer,Mainstays,Mainstays Rope Wicker Stacking Chair,Mainstays Rope Wicker Stacking Chair,,69.98,each,,69.98,,True,True
walmart,flyer,Mainstays,Mainstays Tray Top Side Table,Mainstays Tray Top Side Table,,29.98,each,,29.98,,True,True
walmart,flyer,,Mainstays Tray-Top Side Table,Mainstays Tray-Top Side Table,,29.98,each,,29.98,,True,True
walmart,flyer,Hometrends,Hometrends Vintage Brights Toss Cushions,Hometrends Vintage Brights Toss Cushions,,11.98,each,,11.98,,True,True
walmart,flyer,,Mainstays 6.5' Round Polyweave Outdoor Rugs,Mainstays 6.5' Round Polyweave Outdoor Rugs,,49.98,each,,49.98,,True,True
walmart,flyer,Hometrends,Hometrends 7.5' Round Market Umbrella,Hometrends 7.5' Round Market Umbrella,,69.98,each,,69.98,,True,True
walmart,flyer,Mainstays,Mainstays 6.5' Round Polyweave Outdoor Rugs,Mainstays 6.5' Round Polyweave Outdoor Rugs,,49.98,each,,49.98,,True,True
walmart,flyer,,Mainstays 6.5' Round Polyweave Outdoor Rugs,Mainstays 6.5' Round Polyweave Outdoor Rugs,,49.98,each,,49.98,,True,True
walmart,flyer,,Hometrends 7.5' Round Market Umbrella,Hometrends 7.5' Round Market Umbrella,,69.98,each,,69.98,,True,True
walmart,flyer,,Hometrends 7.5' Round Market Umbrella,Hometrends 7.5' Round Market Umbrella,,69.98,each,,69.98,,True,True
walmart,flyer,,Site to Store,Site to Store,,,each,,,,True,True
walmart,flyer,,Hometrends 10-Count Assorted Bulbs Solar String Lights,Hometrends 10-Count Assorted Bulbs Solar String Lights,,24.98,each,,24.98,,True,True
walmart,flyer,,Mainstays Rope/Wicker Stacking Chair,Mainstays Rope/Wicker Stacking Chair,,69.98,each,,69.98,,True,True
walmart,flyer,,"Bond Canmore 48"" Gas Fireplace","Bond Canmore 48"" Gas Fireplace",,1298.0,each,,1298.0,,True,True
walmart,flyer,,Hometrends Deco Sol 3-Piece Modular Sectional Set,Hometrends Deco Sol 3-Piece Modular Sectional Set,,598.0,each,,598.0,,True,True
walmart,flyer,,Hometrends Urban Toss Cushions,Hometrends Urban Toss Cushions,,11.98,each,,11.98,,True,True
