store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale,data_last_refreshed_at,sale_valid_until
freshco,flyer,,Prime Raised Without Antibiotics Boneless Skinless Chicken Breasts 3 pieces or Mina Halal Boneless Skinless Chicken Breasts 4 pieces,Prime Raised Without Antibiotics Boneless Skinless Chicken Breasts 3 pieces or Mina Halal Boneless Skinless Chicken Breasts 4 pieces,,10.0,each,,10.0,,True,True,03/16/2023,03/22
freshco,flyer,,Mr. Goudas Par-Boiled or Long Grain Rice 8 kg,Mr. Goudas Par-Boiled or Long Grain Rice 8 kg,,12.99,each,,0.162375,100g,True,True,03/16/2023,03/22
freshco,flyer,,Strawberries 454 g Product of Mexico or USA No. 1 Grade,Strawberries 454 g Product of Mexico or USA No. 1 Grade,,1.99,each,,0.43832599118942733,100g,True,True,03/16/2023,03/22
freshco,flyer,,Khudri Dates 1 kg Product of Saudi Arabia,Khudri Dates 1 kg Product of Saudi Arabia,,5.99,each,,0.5990000000000001,100g,True,True,03/16/2023,03/22
freshco,flyer,,Simply Orange Juice 1.54 L Becel Margarine 427 g,Simply Orange Juice 1.54 L Becel Margarine 427 g,,3.99,each,,0.2590909090909091,100ml,True,True,03/16/2023,03/22
freshco,flyer,,Broccoli Crowns Product of USA or Mexico 4.39/kg,Broccoli Crowns Product of USA or Mexico 4.39/kg,,1.99,/lb,,1.99,,False,True,03/16/2023,03/22
freshco,flyer,,Unico Vegetable Oil 3 L,Unico Vegetable Oil 3 L,,9.88,each,,0.32933333333333337,100ml,True,True,03/16/2023,03/22
freshco,flyer,,Scheiders Juicy Jumbos or Smoked Sausages 375-450 g,Scheiders Juicy Jumbos or Smoked Sausages 375-450 g,,3.99,with Scene+ Card,,1.064,100g,False,True,03/16/2023,03/22
freshco,flyer,,Cashmere Bathroom Tissue 12-36 rolls,Cashmere Bathroom Tissue 12-36 rolls,,9.99,with Scene+ Card,,9.99,,False,True,03/16/2023,03/22
freshco,flyer,,Red Seedless Grape Product of Peru or Chile No. Grade 6.59/kg,Red Seedless Grape Product of Peru or Chile No. Grade 6.59/kg,,2.99,/lb,,2.99,,False,True,03/16/2023,03/22
freshco,flyer,,Roma Tomatoes Product of Mexico No. 1 Grade 3.73/kg,Roma Tomatoes Product of Mexico No. 1 Grade 3.73/kg,,1.69,/lb,,1.69,,False,True,03/16/2023,03/22
freshco,flyer,,Stem & Leaf Clementines Product of Spain 6.59/kg,Stem & Leaf Clementines Product of Spain 6.59/kg,,2.99,/lb,,2.99,,False,True,03/16/2023,03/22
freshco,flyer,,Yellow Flesh Peaches Product of Chile No. 1 Grade 5.49/kg,Yellow Flesh Peaches Product of Chile No. 1 Grade 5.49/kg,,2.49,/lb,,2.49,,False,True,03/16/2023,03/22
freshco,flyer,,Eggplants or Zucchini Product of USA or Mexico 4.39/kg,Eggplants or Zucchini Product of USA or Mexico 4.39/kg,,1.99,/lb,,1.99,,False,True,03/16/2023,03/22
freshco,flyer,,Compliments mini Peeled Carrots 340 g Product of USA Seedless Cucumbers Product of Ontario Canada No. 1 or Product of Mexico No. 1 Grade,Compliments mini Peeled Carrots 340 g Product of USA Seedless Cucumbers Product of Ontario Canada No. 1 or Product of Mexico No. 1 Grade,,1.49,each,,0.4382352941176471,100g,True,True,03/16/2023,03/22
freshco,flyer,,Compliments Bagged Gala or Red Delicious Apples 3 lb Product of Ontario Canada Fancy 1.36 kg,Compliments Bagged Gala or Red Delicious Apples 3 lb Product of Ontario Canada Fancy 1.36 kg,,3.99,each,,0.29321504788444247,100g,True,True,03/16/2023,03/22
freshco,flyer,,Bartlett Pears Product of South Africa Extra Fancy Grade Red Plums Product of Chile 3.95/kg,Bartlett Pears Product of South Africa Extra Fancy Grade Red Plums Product of Chile 3.95/kg,,1.79,/lb,,1.79,,False,True,03/16/2023,03/22
freshco,flyer,,Celery Product of USA or Mexico No. 1 Grade,Celery Product of USA or Mexico No. 1 Grade,,2.49,each,,2.49,,True,True,03/16/2023,03/22
freshco,flyer,,Sweet Bell Peppers 4 pk Product of Mexico,Sweet Bell Peppers 4 pk Product of Mexico,,3.99,each,,0.9975,1ea,True,True,03/16/2023,03/22
freshco,flyer,,Lean Ground Beef 375 g,Lean Ground Beef 375 g,,5.0,each,,1.3333333333333335,100g,True,True,03/16/2023,03/22
