store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale,data_last_refreshed_at,sale_valid_until
sobeys,flyer,,sobeys,sobeys,,,each,,,,True,True,02/23/2023,03/01
sobeys,flyer,STERLING SILVER,STERLING SILVER Fresh Boneless Inside Round Oven Roast or Marinating Steaks,STERLING SILVER Fresh Boneless Inside Round Oven Roast or Marinating Steaks,,4.99,/lb 11.00/kg,,4.99,,False,True,02/23/2023,03/01
sobeys,flyer,,Fresh Chicken Legs,Fresh Chicken Legs,,2.99,/lb 6.59/kg,,2.99,,False,True,02/23/2023,03/01
sobeys,flyer,,Broccoli Crowns,Broccoli Crowns,,1.99,/lb 4.39/kg,,1.99,,False,True,02/23/2023,03/01
sobeys,flyer,JANES,"JANES Pub Style Chicken or Turkey Strips, Nuggets or Burgers or Chicken Fries, Popcorn or Wings","JANES Pub Style Chicken or Turkey Strips, Nuggets or Burgers or Chicken Fries, Popcorn or Wings",,14.99,ea,,2.4983333333333335,100g,False,True,02/23/2023,03/01
sobeys,flyer,,Extra Large Green Seedless Grapes,Extra Large Green Seedless Grapes,,2.49,/lb 5.49/kg,,249.00000000000003,100g,False,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Pacific White Shrimp,COMPLIMENTS Pacific White Shrimp,,20.0,or 7.99 ea,,1.9607843137254901,100g,False,True,02/23/2023,03/01
sobeys,flyer,,Chocolate Chip or Oatmeal Raisin Cookies,Chocolate Chip or Oatmeal Raisin Cookies,,8.99,each,,1.4500000000000002,100g,True,True,02/23/2023,03/01
sobeys,flyer,,Long English Cucumbers,Long English Cucumbers,,,each,,,100g,True,True,02/23/2023,03/01
sobeys,flyer,,KRAFT Salad Dressing,KRAFT Salad Dressing,,2.99,each,,2.99,,True,True,02/23/2023,03/01
sobeys,flyer,,BREYERS Creamery Style Ice Cream or Canadian Desserts,BREYERS Creamery Style Ice Cream or Canadian Desserts,,4.99,each,,0.35642857142857143,100ml,True,True,02/23/2023,03/01
sobeys,flyer,DR. OETKER,DR. OETKER Ristorante or Casa Di Mama Pizza,DR. OETKER Ristorante or Casa Di Mama Pizza,,3.47,each,,1.084375,100g,True,True,02/23/2023,03/01
sobeys,flyer,DOVE,DOVE Beauty Bar,DOVE Beauty Bar,,3.99,each,,1.33,1ea,True,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Cheese,COMPLIMENTS Cheese,,4.44,each,,1.11,100g,True,True,02/23/2023,03/01
sobeys,flyer,,KELLOGG'S or GENERAL MILLS Family Size Cereal,KELLOGG'S or GENERAL MILLS Family Size Cereal,,5.47,each,,1.1395833333333332,100g,True,True,02/23/2023,03/01
sobeys,flyer,,sobeys,sobeys,,,each,,,,True,True,02/23/2023,03/01
